variable,outcome,odds_ratio,confidence_interval_lower,confidence_interval_upper,p_value,sample_size,model_type
const,ICU death,0.01798581058845112,0.014863852748316971,0.021763494835500774,0.0,22302,Logistic regression
log_lactate,ICU death,2.8221178844802144,2.663268569561575,2.9904416869283907,6.849879570707518e-270,22302,Logistic regression
age_icu_exit,ICU death,1.0235798792520727,1.02109987878316,1.026065903032175,4.2457771468225986e-79,22302,Logistic regression
gender_M,ICU death,0.9734143280930794,0.9023665615163201,1.050056035481501,0.4859084299482831,22302,Logistic regression
